Namespace(arch='resnet18', batch_size=64, ckpt=None, data_dir='/home/aamich/fall21/CycleGAN_pix2pix/MNIST', dataset='MNIST', epochs=500, exp_name='train_MNIST', in_channel=1, lr=0.5, method='SupCon', momentum=0.9, normalize=False, num_classes=10, print_freq=100, results_dir='/home/aamich/fall21/SSD', save_freq=1, seed=12345, size=28, temperature=0.5, training_mode='SimCLR', warmup=True, weight_decay=0.0001)
Epoch 0, validation accuracy 94.93, best_prec 94.93
Epoch 1, validation accuracy 94.67999999999999, best_prec 94.93
Epoch 2, validation accuracy 95.45, best_prec 95.45
Epoch 3, validation accuracy 95.26, best_prec 95.45
Epoch 4, validation accuracy 95.85000000000001, best_prec 95.85000000000001
Epoch 5, validation accuracy 94.56, best_prec 95.85000000000001
Epoch 6, validation accuracy 94.73, best_prec 95.85000000000001
Epoch 7, validation accuracy 95.03, best_prec 95.85000000000001
Epoch 8, validation accuracy 95.13000000000001, best_prec 95.85000000000001
Epoch 9, validation accuracy 95.03999999999999, best_prec 95.85000000000001
Epoch 10, validation accuracy 95.47000000000001, best_prec 95.85000000000001
Epoch 11, validation accuracy 94.74000000000001, best_prec 95.85000000000001
Epoch 12, validation accuracy 94.5, best_prec 95.85000000000001
Epoch 13, validation accuracy 95.77, best_prec 95.85000000000001
Epoch 14, validation accuracy 95.48, best_prec 95.85000000000001
Epoch 15, validation accuracy 96.00999999999999, best_prec 96.00999999999999
Epoch 16, validation accuracy 95.09, best_prec 96.00999999999999
Epoch 17, validation accuracy 96.02999999999999, best_prec 96.02999999999999
Epoch 18, validation accuracy 95.0, best_prec 96.02999999999999
Epoch 19, validation accuracy 95.13000000000001, best_prec 96.02999999999999
Epoch 20, validation accuracy 95.30999999999999, best_prec 96.02999999999999
Epoch 21, validation accuracy 95.28999999999999, best_prec 96.02999999999999
Epoch 22, validation accuracy 95.71, best_prec 96.02999999999999
Epoch 23, validation accuracy 94.61, best_prec 96.02999999999999
Epoch 24, validation accuracy 95.15999999999998, best_prec 96.02999999999999
Epoch 25, validation accuracy 94.34000000000002, best_prec 96.02999999999999
Epoch 26, validation accuracy 95.48000000000002, best_prec 96.02999999999999
Epoch 27, validation accuracy 94.77, best_prec 96.02999999999999
Epoch 28, validation accuracy 94.17, best_prec 96.02999999999999
Epoch 29, validation accuracy 94.78999999999999, best_prec 96.02999999999999
Epoch 30, validation accuracy 94.78999999999999, best_prec 96.02999999999999
Epoch 31, validation accuracy 94.86000000000001, best_prec 96.02999999999999
Epoch 32, validation accuracy 95.1, best_prec 96.02999999999999
Epoch 33, validation accuracy 95.98, best_prec 96.02999999999999
Epoch 34, validation accuracy 94.85999999999999, best_prec 96.02999999999999
Epoch 35, validation accuracy 96.42999999999999, best_prec 96.42999999999999
Epoch 36, validation accuracy 95.63, best_prec 96.42999999999999
Epoch 37, validation accuracy 95.22, best_prec 96.42999999999999
Epoch 38, validation accuracy 93.94, best_prec 96.42999999999999
Epoch 39, validation accuracy 95.79, best_prec 96.42999999999999
Epoch 40, validation accuracy 95.41999999999999, best_prec 96.42999999999999
Epoch 41, validation accuracy 94.77, best_prec 96.42999999999999
Epoch 42, validation accuracy 94.98, best_prec 96.42999999999999
Epoch 43, validation accuracy 95.41000000000001, best_prec 96.42999999999999
Epoch 44, validation accuracy 94.36, best_prec 96.42999999999999
Epoch 45, validation accuracy 95.47000000000001, best_prec 96.42999999999999
Epoch 46, validation accuracy 94.7, best_prec 96.42999999999999
Epoch 47, validation accuracy 95.16, best_prec 96.42999999999999
Epoch 48, validation accuracy 95.02999999999999, best_prec 96.42999999999999
Epoch 49, validation accuracy 95.09, best_prec 96.42999999999999
Epoch 50, validation accuracy 94.94999999999999, best_prec 96.42999999999999
Epoch 51, validation accuracy 95.03999999999999, best_prec 96.42999999999999
Epoch 52, validation accuracy 95.97, best_prec 96.42999999999999
Epoch 53, validation accuracy 95.32000000000001, best_prec 96.42999999999999
Epoch 54, validation accuracy 94.22, best_prec 96.42999999999999
Epoch 55, validation accuracy 95.14000000000001, best_prec 96.42999999999999
Epoch 56, validation accuracy 95.78, best_prec 96.42999999999999
Epoch 57, validation accuracy 95.26, best_prec 96.42999999999999
Epoch 58, validation accuracy 95.18, best_prec 96.42999999999999
Epoch 59, validation accuracy 94.85, best_prec 96.42999999999999
Epoch 60, validation accuracy 95.82000000000001, best_prec 96.42999999999999
Epoch 61, validation accuracy 94.93, best_prec 96.42999999999999
Epoch 62, validation accuracy 95.59, best_prec 96.42999999999999
Epoch 63, validation accuracy 95.59999999999998, best_prec 96.42999999999999
Epoch 64, validation accuracy 94.91999999999999, best_prec 96.42999999999999
Epoch 65, validation accuracy 95.26999999999998, best_prec 96.42999999999999
Epoch 66, validation accuracy 95.41000000000001, best_prec 96.42999999999999
Epoch 67, validation accuracy 95.61, best_prec 96.42999999999999
Epoch 68, validation accuracy 95.87, best_prec 96.42999999999999
Epoch 69, validation accuracy 95.81, best_prec 96.42999999999999
Epoch 70, validation accuracy 95.19999999999999, best_prec 96.42999999999999
Epoch 71, validation accuracy 95.06, best_prec 96.42999999999999
Epoch 72, validation accuracy 94.67999999999999, best_prec 96.42999999999999
Epoch 73, validation accuracy 95.81, best_prec 96.42999999999999
Epoch 74, validation accuracy 94.78999999999999, best_prec 96.42999999999999
Epoch 75, validation accuracy 95.58, best_prec 96.42999999999999
Epoch 76, validation accuracy 96.02000000000001, best_prec 96.42999999999999
Epoch 77, validation accuracy 95.60000000000001, best_prec 96.42999999999999
Epoch 78, validation accuracy 95.26999999999998, best_prec 96.42999999999999
Epoch 79, validation accuracy 95.0, best_prec 96.42999999999999
Epoch 80, validation accuracy 95.48, best_prec 96.42999999999999
Epoch 81, validation accuracy 95.7, best_prec 96.42999999999999
Epoch 82, validation accuracy 95.58, best_prec 96.42999999999999
Epoch 83, validation accuracy 95.07000000000001, best_prec 96.42999999999999
Epoch 84, validation accuracy 95.32000000000001, best_prec 96.42999999999999
Epoch 85, validation accuracy 95.57, best_prec 96.42999999999999
Epoch 86, validation accuracy 95.99, best_prec 96.42999999999999
Epoch 87, validation accuracy 95.13999999999999, best_prec 96.42999999999999
Epoch 88, validation accuracy 95.22999999999999, best_prec 96.42999999999999
Epoch 89, validation accuracy 95.02, best_prec 96.42999999999999
Epoch 90, validation accuracy 95.38, best_prec 96.42999999999999
Epoch 91, validation accuracy 94.88999999999999, best_prec 96.42999999999999
Epoch 92, validation accuracy 95.76, best_prec 96.42999999999999
Epoch 93, validation accuracy 94.85, best_prec 96.42999999999999
Epoch 94, validation accuracy 94.80999999999999, best_prec 96.42999999999999
